run,kind,text,prompt_index,image_index,seed,distance_to_base,distance_to_vanilla,image_path,base_image_path,vanilla_image_path
cfg_gate_alpha05,subject,a photo of sks backpack in a room,1,0,100,38.238658,33.083200,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha05/subject_01_00_seed100_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_01_00_seed100_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-backpack-in-a-room.png
cfg_gate_alpha05,subject,a photo of sks backpack in a room,1,1,101,45.575663,47.910182,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha05/subject_01_01_seed101_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_01_01_seed101_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-backpack-in-a-room.png
cfg_gate_alpha05,class,a photo of a backpack,2,0,200,45.525431,48.748572,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha05/class_02_00_seed200_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_02_00_seed200_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_02_00_seed200_a-photo-of-a-backpack.png
cfg_gate_alpha05,class,a photo of a backpack,2,1,201,33.149249,41.475816,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha05/class_02_01_seed201_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_02_01_seed201_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_02_01_seed201_a-photo-of-a-backpack.png
cfg_gate_alpha05,class,a backpack on a wooden table,3,0,300,49.040365,17.684986,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha05/class_03_00_seed300_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_03_00_seed300_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_03_00_seed300_a-backpack-on-a-wooden-table.png
cfg_gate_alpha05,class,a backpack on a wooden table,3,1,301,57.314678,35.601419,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha05/class_03_01_seed301_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_03_01_seed301_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_03_01_seed301_a-backpack-on-a-wooden-table.png
cfg_gate_alpha065,subject,a photo of sks backpack on a wooden table,0,0,0,41.859441,27.850021,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha065/subject_00_00_seed0_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_00_00_seed0_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-backpack-on-a-wooden-table.png
cfg_gate_alpha065,subject,a photo of sks backpack on a wooden table,0,1,1,49.321437,29.255633,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha065/subject_00_01_seed1_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_00_01_seed1_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-backpack-on-a-wooden-table.png
cfg_gate_alpha065,subject,a photo of sks backpack in a room,1,0,100,38.952188,36.303388,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha065/subject_01_00_seed100_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_01_00_seed100_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-backpack-in-a-room.png
cfg_gate_alpha065,subject,a photo of sks backpack in a room,1,1,101,43.848830,45.795521,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha065/subject_01_01_seed101_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_01_01_seed101_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-backpack-in-a-room.png
cfg_gate_alpha065,class,a photo of a backpack,2,0,200,44.820356,52.625123,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha065/class_02_00_seed200_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_02_00_seed200_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_02_00_seed200_a-photo-of-a-backpack.png
cfg_gate_alpha065,class,a photo of a backpack,2,1,201,34.949341,47.272717,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha065/class_02_01_seed201_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_02_01_seed201_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_02_01_seed201_a-photo-of-a-backpack.png
cfg_gate_alpha065,class,a backpack on a wooden table,3,0,300,44.366281,26.526924,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha065/class_03_00_seed300_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_03_00_seed300_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_03_00_seed300_a-backpack-on-a-wooden-table.png
cfg_gate_alpha065,class,a backpack on a wooden table,3,1,301,56.902481,37.466751,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha065/class_03_01_seed301_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_03_01_seed301_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_03_01_seed301_a-backpack-on-a-wooden-table.png
