run,kind,text,prompt_index,image_index,seed,distance_to_base,distance_to_vanilla,image_path,base_image_path,vanilla_image_path
dadt_lf_late_alpha075,subject,a photo of sks vase in a room,1,0,100,21.803224,6.649164,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha075/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png
dadt_lf_late_alpha075,subject,a photo of sks vase in a room,1,1,101,28.442940,13.759880,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha075/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png
dadt_lf_late_alpha075,class,a photo of a vase,2,0,200,47.739442,18.375665,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha075/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_00_seed200_a-photo-of-a-vase.png
dadt_lf_late_alpha075,class,a photo of a vase,2,1,201,26.311171,12.627046,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha075/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_01_seed201_a-photo-of-a-vase.png
dadt_lf_late_alpha075,class,a vase on a wooden table,3,0,300,26.666444,7.413481,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha075/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_00_seed300_a-vase-on-a-wooden-table.png
dadt_lf_late_alpha075,class,a vase on a wooden table,3,1,301,18.364120,5.437621,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha075/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_01_seed301_a-vase-on-a-wooden-table.png
dadt_lf_late_alpha100,subject,a photo of sks vase on a wooden table,0,0,0,39.541991,8.700250,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha100/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png
dadt_lf_late_alpha100,subject,a photo of sks vase on a wooden table,0,1,1,32.561218,14.982620,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha100/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png
dadt_lf_late_alpha100,subject,a photo of sks vase in a room,1,0,100,22.288855,5.001184,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha100/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png
dadt_lf_late_alpha100,subject,a photo of sks vase in a room,1,1,101,29.403595,11.835060,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha100/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png
dadt_lf_late_alpha100,class,a photo of a vase,2,0,200,47.739667,14.205304,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha100/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_00_seed200_a-photo-of-a-vase.png
dadt_lf_late_alpha100,class,a photo of a vase,2,1,201,24.861810,12.480882,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha100/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_01_seed201_a-photo-of-a-vase.png
dadt_lf_late_alpha100,class,a vase on a wooden table,3,0,300,24.064067,4.389168,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha100/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_00_seed300_a-vase-on-a-wooden-table.png
dadt_lf_late_alpha100,class,a vase on a wooden table,3,1,301,17.921340,7.744471,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha100/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_01_seed301_a-vase-on-a-wooden-table.png
dadt_lf_midlate_alpha075,subject,a photo of sks vase on a wooden table,0,0,0,39.470918,18.917522,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_midlate_alpha075/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png
dadt_lf_midlate_alpha075,subject,a photo of sks vase on a wooden table,0,1,1,34.744461,23.892019,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_midlate_alpha075/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png
dadt_lf_midlate_alpha075,subject,a photo of sks vase in a room,1,0,100,21.577985,7.735939,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_midlate_alpha075/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png
dadt_lf_midlate_alpha075,subject,a photo of sks vase in a room,1,1,101,25.742144,19.792061,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_midlate_alpha075/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png
dadt_lf_midlate_alpha075,class,a photo of a vase,2,0,200,48.316692,34.321290,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_midlate_alpha075/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_00_seed200_a-photo-of-a-vase.png
dadt_lf_midlate_alpha075,class,a photo of a vase,2,1,201,23.423304,14.566307,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_midlate_alpha075/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_01_seed201_a-photo-of-a-vase.png
dadt_lf_midlate_alpha075,class,a vase on a wooden table,3,0,300,25.251813,8.519669,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_midlate_alpha075/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_00_seed300_a-vase-on-a-wooden-table.png
dadt_lf_midlate_alpha075,class,a vase on a wooden table,3,1,301,17.403033,5.600882,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_midlate_alpha075/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_01_seed301_a-vase-on-a-wooden-table.png
residual_gate_q75_keep05,subject,a photo of sks vase on a wooden table,0,0,0,22.839568,33.129668,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q75_keep05/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png
residual_gate_q75_keep05,subject,a photo of sks vase on a wooden table,0,1,1,18.048531,24.949348,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q75_keep05/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png
residual_gate_q75_keep05,subject,a photo of sks vase in a room,1,0,100,16.393505,13.017574,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q75_keep05/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png
residual_gate_q75_keep05,subject,a photo of sks vase in a room,1,1,101,25.061698,22.644945,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q75_keep05/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png
residual_gate_q75_keep05,class,a photo of a vase,2,0,200,36.558966,43.409451,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q75_keep05/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_00_seed200_a-photo-of-a-vase.png
residual_gate_q75_keep05,class,a photo of a vase,2,1,201,16.341412,17.843103,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q75_keep05/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_01_seed201_a-photo-of-a-vase.png
residual_gate_q75_keep05,class,a vase on a wooden table,3,0,300,21.393958,15.439017,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q75_keep05/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_00_seed300_a-vase-on-a-wooden-table.png
residual_gate_q75_keep05,class,a vase on a wooden table,3,1,301,12.303603,12.771952,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q75_keep05/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_01_seed301_a-vase-on-a-wooden-table.png
residual_gate_q90_keep05,subject,a photo of sks vase on a wooden table,0,0,0,28.468961,31.233716,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q90_keep05/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png
residual_gate_q90_keep05,subject,a photo of sks vase on a wooden table,0,1,1,20.151396,23.831898,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q90_keep05/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png
residual_gate_q90_keep05,subject,a photo of sks vase in a room,1,0,100,18.566762,10.452276,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q90_keep05/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png
residual_gate_q90_keep05,subject,a photo of sks vase in a room,1,1,101,22.926811,17.716324,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q90_keep05/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png
residual_gate_q90_keep05,class,a photo of a vase,2,0,200,44.508638,41.110055,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q90_keep05/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_00_seed200_a-photo-of-a-vase.png
residual_gate_q90_keep05,class,a photo of a vase,2,1,201,16.605217,17.631070,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q90_keep05/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_01_seed201_a-photo-of-a-vase.png
residual_gate_q90_keep05,class,a vase on a wooden table,3,0,300,19.849004,11.686885,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q90_keep05/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_00_seed300_a-vase-on-a-wooden-table.png
residual_gate_q90_keep05,class,a vase on a wooden table,3,1,301,15.310880,9.333309,experiments/stage2c0_residual_gating/vase/eval/residual_gate_q90_keep05/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_01_seed301_a-vase-on-a-wooden-table.png
