subject_id,image_id,image_path,source_group,reference_regime,hardness_axis,source_standard_image,variant_id,transform_parameters,class_name,class_prompt,class_context_prompt,conditioning_key,conditioning_prompt,source_dataset,source_license_note
cat,cat_clean_object_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_clean_object_00/seed_0000.png,base_generated_control,prompt_matched_generated,clean_object,,,{},cat,a photo of a cat,a photo of a cat sitting in a bathroom sink,prompt_matched,a photo of a cat sitting in a bathroom sink,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat_clean_object_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_clean_object_00/seed_0001.png,base_generated_control,prompt_matched_generated,clean_object,,,{},cat,a photo of a cat,a photo of a cat sitting in a bathroom sink,prompt_matched,a photo of a cat sitting in a bathroom sink,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat_cluttered_scene_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_cluttered_scene_00/seed_0000.png,base_generated_control,prompt_matched_generated,cluttered_scene,,,{},cat,a photo of a cat,a photo of a cat sitting beside a laptop on a desk,prompt_matched,a photo of a cat sitting beside a laptop on a desk,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat_cluttered_scene_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_cluttered_scene_00/seed_0001.png,base_generated_control,prompt_matched_generated,cluttered_scene,,,{},cat,a photo of a cat,a photo of a cat sitting beside a laptop on a desk,prompt_matched,a photo of a cat sitting beside a laptop on a desk,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat_background_heavy_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_background_heavy_00/seed_0000.png,base_generated_control,prompt_matched_generated,background_heavy,,,{},cat,a photo of a cat,a photo of a cat in a tree with a leafy background,prompt_matched,a photo of a cat in a tree with a leafy background,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat_background_heavy_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_background_heavy_00/seed_0001.png,base_generated_control,prompt_matched_generated,background_heavy,,,{},cat,a photo of a cat,a photo of a cat in a tree with a leafy background,prompt_matched,a photo of a cat in a tree with a leafy background,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
backpack,backpack_matched_context_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/backpack/backpack_matched_context_00/seed_0000.png,base_generated_control,prompt_matched_generated,matched_context,,,{},backpack,a photo of a backpack,a photo of a person wearing a backpack,prompt_matched,a photo of a person wearing a backpack,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
backpack,backpack_matched_context_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/backpack/backpack_matched_context_00/seed_0001.png,base_generated_control,prompt_matched_generated,matched_context,,,{},backpack,a photo of a backpack,a photo of a person wearing a backpack,prompt_matched,a photo of a person wearing a backpack,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
backpack,backpack_clean_object_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/backpack/backpack_clean_object_00/seed_0000.png,base_generated_control,prompt_matched_generated,clean_object,,,{},backpack,a photo of a backpack,a photo of a backpack and luggage in a bedroom,prompt_matched,a photo of a backpack and luggage in a bedroom,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
backpack,backpack_clean_object_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/backpack/backpack_clean_object_00/seed_0001.png,base_generated_control,prompt_matched_generated,clean_object,,,{},backpack,a photo of a backpack,a photo of a backpack and luggage in a bedroom,prompt_matched,a photo of a backpack and luggage in a bedroom,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
backpack,backpack_cluttered_scene_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/backpack/backpack_cluttered_scene_00/seed_0000.png,base_generated_control,prompt_matched_generated,cluttered_scene,,,{},backpack,a photo of a backpack,a photo of backpacks and luggage in a cluttered pile,prompt_matched,a photo of backpacks and luggage in a cluttered pile,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
backpack,backpack_cluttered_scene_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/backpack/backpack_cluttered_scene_00/seed_0001.png,base_generated_control,prompt_matched_generated,cluttered_scene,,,{},backpack,a photo of a backpack,a photo of backpacks and luggage in a cluttered pile,prompt_matched,a photo of backpacks and luggage in a cluttered pile,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
backpack,backpack_background_heavy_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/backpack/backpack_background_heavy_00/seed_0000.png,base_generated_control,prompt_matched_generated,background_heavy,,,{},backpack,a photo of a backpack,a photo of a small backpack in a forest scene,prompt_matched,a photo of a small backpack in a forest scene,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
backpack,backpack_background_heavy_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/backpack/backpack_background_heavy_00/seed_0001.png,base_generated_control,prompt_matched_generated,background_heavy,,,{},backpack,a photo of a backpack,a photo of a small backpack in a forest scene,prompt_matched,a photo of a small backpack in a forest scene,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
vase,vase_clean_object_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/vase/vase_clean_object_00/seed_0000.png,base_generated_control,prompt_matched_generated,clean_object,,,{},vase,a photo of a vase,a photo of a glass vase with flowers on a table,prompt_matched,a photo of a glass vase with flowers on a table,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
vase,vase_clean_object_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/vase/vase_clean_object_00/seed_0001.png,base_generated_control,prompt_matched_generated,clean_object,,,{},vase,a photo of a vase,a photo of a glass vase with flowers on a table,prompt_matched,a photo of a glass vase with flowers on a table,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
vase,vase_matched_window_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/vase/vase_matched_window_00/seed_0000.png,base_generated_control,prompt_matched_generated,matched_window,,,{},vase,a photo of a vase,a photo of a flower vase near a window,prompt_matched,a photo of a flower vase near a window,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
vase,vase_matched_window_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/vase/vase_matched_window_00/seed_0001.png,base_generated_control,prompt_matched_generated,matched_window,,,{},vase,a photo of a vase,a photo of a flower vase near a window,prompt_matched,a photo of a flower vase near a window,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
vase,vase_cluttered_scene_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/vase/vase_cluttered_scene_00/seed_0000.png,base_generated_control,prompt_matched_generated,cluttered_scene,,,{},vase,a photo of a vase,a photo of multiple flower vases on a table,prompt_matched,a photo of multiple flower vases on a table,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
vase,vase_cluttered_scene_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/vase/vase_cluttered_scene_00/seed_0001.png,base_generated_control,prompt_matched_generated,cluttered_scene,,,{},vase,a photo of a vase,a photo of multiple flower vases on a table,prompt_matched,a photo of multiple flower vases on a table,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
vase,vase_background_heavy_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/vase/vase_background_heavy_00/seed_0000.png,base_generated_control,prompt_matched_generated,background_heavy,,,{},vase,a photo of a vase,a photo of many vases outdoors,prompt_matched,a photo of many vases outdoors,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
vase,vase_background_heavy_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/vase/vase_background_heavy_00/seed_0001.png,base_generated_control,prompt_matched_generated,background_heavy,,,{},vase,a photo of a vase,a photo of many vases outdoors,prompt_matched,a photo of many vases outdoors,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
